Model,Acc Epochs,Final Acc,Best Acc,Best Acc Epoch,Loss Epochs,Final Loss,Min Loss,Min Loss Epoch
CLDNN,106,0.5653105974197388,0.5664772987365723,104,106,1.1579951047897339,1.156460165977478,100
CNN1,64,0.5706211924552917,0.5724166631698608,58,64,1.1286025047302246,1.127592921257019,63
DAE,135,0.5369318127632141,0.5379317998886108,119,135,0.12071364372968674,0.12062516808509827,119
DenseNet,201,0.5168030261993408,0.5187651515007019,166,201,1.26140558719635,1.2596547603607178,195
HANet,62,0.6813485026359558,0.6813485026359558,62,62,0.8704089522361755,0.8703407645225525,61
LSTM2,63,0.6381439566612244,0.6381439566612244,63,63,0.9857853055000305,0.9857853055000305,63
MCNET,79,0.5783030390739441,0.5789848566055298,73,79,1.109699010848999,1.1091476678848267,75
ResNet,88,0.5464242696762085,0.5492651462554932,83,88,1.144126057624817,1.1390107870101929,82
