Model,Acc Epochs,Final Acc,Best Acc,Best Acc Epoch,Loss Epochs,Final Loss,Min Loss,Min Loss Epoch
HANet,62,0.6813485026359558,0.6813485026359558,62,62,0.8704089522361755,0.8703407645225525,61
HANet_only_AP,52,0.6786817908287048,0.6786817908287048,52,52,0.8885018825531006,0.8885018825531006,52
HANet_only_FFT,57,0.5270909070968628,0.5279697179794312,54,57,1.2007299661636353,1.2007299661636353,57
HANet_only_IQ,56,0.6779848337173462,0.6779848337173462,56,56,0.9025012254714966,0.9025012254714966,56
HANet_without_attention,52,0.6061439514160156,0.6061439514160156,52,52,1.008445382118225,1.00832200050354,49
